latitude,longitude,tick,Company,radius,TROBA,CODIGO
-80.62263634,-5.2102304,INC000001836966,TELEFONICA DEL PERU,8391122.25549636,BAG017,BAG0170206
-80.62261673,-5.18956224,INC000001852354,TELEFONICA DEL PERU,8391483.383748835,BAG017,BAG0170207
-80.62258,-5.224347,INC000001852256,TELEFONICA DEL PERU,8390873.487138527,BAG017,BAG0170208
-80.62248026,-5.1837785,INC000001844968,TELEFONICA DEL PERU,8391580.44663962,BAG017,BAG0170209
-80.62245074,-5.20311429,INC000001425965,TELEFONICA DEL PERU,8391241.11843255,BAG017,BAG0170210
-80.62161362,-5.21428891,INC000001681623,TELEFONICA DEL PERU,8391019.926991975,BAG017,BAG0170211
-80.62161291,-5.2197935,INC000001849907,TELEFONICA DEL PERU,8390923.56333938,BAG017,BAG0170212
-80.6216003,-5.20507591,INC000001852350,TELEFONICA DEL PERU,8391180.772333639,BAG017,BAG0170313
-80.62148756,-5.20336498,INC000001642727,TELEFONICA DEL PERU,8391207.270893125,BAG017,BAG0170314
-80.62132187,-5.2255455,INC000001851988,TELEFONICA DEL PERU,8390813.980214449,BAG017,BAG0170315
-80.6212756,-5.21298426,INC000001852240,TELEFONICA DEL PERU,8391032.416748187,BAG017,BAG0170316
-80.62108084,-5.18572927,INC000001848411,TELEFONICA DEL PERU,8391503.545105817,BAG017,BAG0170317
-80.62067498,-5.21302785,INC000001852320,TELEFONICA DEL PERU,8391013.272521406,BAG017,BAG0170318
-80.62066697,-5.1928085,INC000001852227,TELEFONICA DEL PERU,8391366.969215522,BAG017,BAG0170319
-80.62050317,-5.18981422,INC000001852092,TELEFONICA DEL PERU,8391414.381657777,BAG017,BAG0170420
-80.620502,-5.212637,INC000001852298,TELEFONICA DEL PERU,8391014.820358295,BAG017,BAG0170421
-80.62047666,-5.21090058,INC000001852146,TELEFONICA DEL PERU,8391044.440378107,BAG017,BAG0170422
-80.6203461,-5.21735,INC000001852153,TELEFONICA DEL PERU,8390927.54993677,BAG017,BAG0170423
-80.620166,-5.198581,INC000001852157,TELEFONICA DEL PERU,8391250.599460483,BAG017,BAG0170424
-80.62014993,-5.20996463,INC000001852133,TELEFONICA DEL PERU,8391050.826792335,BAG017,BAG0170425
-80.62013579,-5.1913534,INC000001847894,TELEFONICA DEL PERU,8391376.207815466,BAG017,BAG0170426
